complaint_index,id,type,county,description,rank,score,candidate_path,matched_terms,candidate_url_found
5,,Compressor Station Noise,Uintah,Public testimony described continuous compressor noise during nighttime hours.,4,15,archive/sources/complaint_records/source_2024_05_01_duchesne_pc_transcript.html,"compressor, station, noise, testimony, compressor, noise, during, nighttime, hours, uintah, uintah, commission",
5,,Compressor Station Noise,Uintah,Public testimony described continuous compressor noise during nighttime hours.,5,15,archive/extracted_text/legacy/00003556.txt,"station, noise, testimony, described, continuous, noise, during, nighttime, hours, uintah, uintah, commission",https://www.fhwa.dot.gov/ohim/summary95/mv
6,,Flaring Complaint,Uintah,Residents reported visible flaring and strong odor near neighborhood.,1,16,archive/sources/complaint_records/007_complaint_007.html,"flaring, visible, flaring, strong, neighborhood, uintah, report, flaring, phrase_match",
6,,Flaring Complaint,Uintah,Residents reported visible flaring and strong odor near neighborhood.,2,8,archive/extracted_text/legacy/Duchesne_CRMP_2022.txt,"flaring, visible, flaring, strong, neighborhood, uintah, report, flaring",https://eplanning.blm.gov/epl-front-11
6,,Flaring Complaint,Uintah,Residents reported visible flaring and strong odor near neighborhood.,3,8,archive/extracted_text/legacy/General-Plan-2024-1.txt,"flaring, visible, flaring, strong, neighborhood, uintah, report, flaring",https://eplanning.blm.gov/epl-front-11
6,,Flaring Complaint,Uintah,Residents reported visible flaring and strong odor near neighborhood.,4,7,archive/sources/complaint_records/source_2024_05_01_duchesne_pc_transcript.html,"flaring, flaring, strong, neighborhood, uintah, report, flaring",
6,,Flaring Complaint,Uintah,Residents reported visible flaring and strong odor near neighborhood.,5,6,archive/extracted_text/legacy/00003553.txt,"visible, strong, neighborhood, uintah, report, anonymous",
7,,Heavy Truck Complaint,Uintah,Residents reported vibration and noise from increased heavy truck activity.,1,21,archive/sources/complaint_records/008_complaint_008.html,"heavy, truck, vibration, noise, increased, heavy, truck, activity, uintah, planning, commission, meeting",
7,,Heavy Truck Complaint,Uintah,Residents reported vibration and noise from increased heavy truck activity.,2,16,archive/extracted_text/legacy/10-4-23.txt,"heavy, truck, vibration, noise, increased, heavy, truck, activity, uintah, planning, commission, meeting",
7,,Heavy Truck Complaint,Uintah,Residents reported vibration and noise from increased heavy truck activity.,3,16,archive/extracted_text/legacy/12-6-23.txt,"heavy, truck, vibration, noise, increased, heavy, truck, activity, uintah, planning, commission, meeting",
7,,Heavy Truck Complaint,Uintah,Residents reported vibration and noise from increased heavy truck activity.,4,16,archive/extracted_text/legacy/June-5-2013.txt,"heavy, truck, vibration, noise, increased, heavy, truck, activity, uintah, planning, commission, meeting",
7,,Heavy Truck Complaint,Uintah,Residents reported vibration and noise from increased heavy truck activity.,5,15,archive/sources/complaint_records/source_2024_05_01_duchesne_pc_transcript.html,"heavy, truck, vibration, noise, increased, heavy, truck, activity, uintah, planning, commission, meeting",
8,,Sand Pit Dust Complaint,Duchesne,Residents reported heavy airborne dust from sand pit operations during windy conditions.,1,17,archive/sources/complaint_records/009_complaint_009.html,"heavy, airborne, operations, during, windy, conditions, duchesne, comment, resident, phrase_match",
8,,Sand Pit Dust Complaint,Duchesne,Residents reported heavy airborne dust from sand pit operations during windy conditions.,2,10,archive/extracted_text/legacy/00002725.txt,"heavy, airborne, operations, during, conditions, duchesne, comment, mining, resident, testimony",
8,,Sand Pit Dust Complaint,Duchesne,Residents reported heavy airborne dust from sand pit operations during windy conditions.,3,10,archive/extracted_text/legacy/00004307.txt,"heavy, airborne, operations, during, conditions, duchesne, comment, mining, resident, testimony",
8,,Sand Pit Dust Complaint,Duchesne,Residents reported heavy airborne dust from sand pit operations during windy conditions.,4,10,archive/extracted_text/legacy/00004313.txt,"heavy, airborne, operations, during, conditions, duchesne, comment, mining, resident, testimony",
8,,Sand Pit Dust Complaint,Duchesne,Residents reported heavy airborne dust from sand pit operations during windy conditions.,5,10,archive/extracted_text/legacy/00004314.txt,"heavy, airborne, operations, during, conditions, duchesne, comment, mining, resident, testimony",
9,,Gravel Pit Truck Dust,Duchesne,Dust clouds reported from gravel truck traffic affecting nearby homes and roads.,1,20,archive/sources/complaint_records/010_complaint_010.html,"gravel, truck, clouds, gravel, truck, traffic, affecting, nearby, homes, roads, duchesne, meeting",
9,,Gravel Pit Truck Dust,Duchesne,Dust clouds reported from gravel truck traffic affecting nearby homes and roads.,2,13,archive/extracted_text/legacy/00004310.txt,"gravel, truck, gravel, truck, traffic, nearby, homes, roads, duchesne, meeting, aggregate, mining",
9,,Gravel Pit Truck Dust,Duchesne,Dust clouds reported from gravel truck traffic affecting nearby homes and roads.,3,13,archive/extracted_text/legacy/00004319.txt,"gravel, truck, gravel, truck, traffic, affecting, homes, roads, duchesne, meeting, aggregate, mining",
9,,Gravel Pit Truck Dust,Duchesne,Dust clouds reported from gravel truck traffic affecting nearby homes and roads.,4,13,archive/extracted_text/legacy/Duchesne_CRMP_2022.txt,"gravel, truck, gravel, truck, traffic, affecting, nearby, homes, roads, duchesne, meeting, aggregate",https://eplanning.blm.gov/epl-front-11
9,,Gravel Pit Truck Dust,Duchesne,Dust clouds reported from gravel truck traffic affecting nearby homes and roads.,5,13,archive/extracted_text/legacy/DuCo_Trails-_MasterPlan_2020.txt,"gravel, truck, clouds, gravel, truck, traffic, affecting, nearby, homes, roads, duchesne, meeting",https://www.census.gov/quickfacts/fact/table/duchesnecountyutah/pst040218#pst040218
10,,Industrial Dust Complaint,Uintah,Residents reported persistent fine dust settling on homes near industrial excavation site.,1,17,archive/sources/complaint_records/011_complaint_011.html,"industrial, persistent, settling, homes, industrial, excavation, uintah, report, industrial, phrase_match",
10,,Industrial Dust Complaint,Uintah,Residents reported persistent fine dust settling on homes near industrial excavation site.,2,12,archive/extracted_text/legacy/s1988.txt,"industrial, persistent, settling, homes, industrial, excavation, uintah, report, industrial, development, community, member",
10,,Industrial Dust Complaint,Uintah,Residents reported persistent fine dust settling on homes near industrial excavation site.,3,11,archive/extracted_text/legacy/00004219.txt,"industrial, persistent, settling, homes, industrial, uintah, report, industrial, development, community, member",https://utahinnovationof
10,,Industrial Dust Complaint,Uintah,Residents reported persistent fine dust settling on homes near industrial excavation site.,4,11,archive/extracted_text/legacy/00004324.txt,"industrial, settling, homes, industrial, excavation, uintah, report, industrial, development, community, member",
10,,Industrial Dust Complaint,Uintah,Residents reported persistent fine dust settling on homes near industrial excavation site.,5,11,archive/extracted_text/legacy/s1937.txt,"industrial, persistent, settling, homes, industrial, uintah, report, industrial, development, community, member",
11,,Sand Mine Noise & Dust,Uintah,Residents reported blasting noise and airborne dust from nearby sand extraction operations.,1,20,archive/sources/complaint_records/012_complaint_012.html,"noise, blasting, noise, airborne, nearby, extraction, operations, uintah, planning, commission, minutes, resident",
11,,Sand Mine Noise & Dust,Uintah,Residents reported blasting noise and airborne dust from nearby sand extraction operations.,2,13,archive/extracted_text/legacy/May-2-2007.txt,"noise, blasting, noise, nearby, extraction, operations, uintah, planning, commission, minutes, mining, resident",
11,,Sand Mine Noise & Dust,Uintah,Residents reported blasting noise and airborne dust from nearby sand extraction operations.,3,12,archive/extracted_text/legacy/00002725.txt,"noise, noise, airborne, extraction, operations, uintah, planning, commission, minutes, mining, resident, testimony",
11,,Sand Mine Noise & Dust,Uintah,Residents reported blasting noise and airborne dust from nearby sand extraction operations.,4,12,archive/extracted_text/legacy/00004307.txt,"noise, noise, airborne, extraction, operations, uintah, planning, commission, minutes, mining, resident, testimony",
11,,Sand Mine Noise & Dust,Uintah,Residents reported blasting noise and airborne dust from nearby sand extraction operations.,5,12,archive/extracted_text/legacy/April-4-2012.txt,"noise, blasting, noise, nearby, extraction, operations, uintah, planning, commission, minutes, mining, resident",
12,,Hydrogen Sulfide Odor Complaint,Duchesne,Residents reported rotten egg odor and nausea near oilfield infrastructure.,1,16,archive/sources/complaint_records/013_complaint_013.html,"hydrogen, sulfide, rotten, nausea, oilfield, infrastructure, duchesne, community, phrase_match",
12,,Hydrogen Sulfide Odor Complaint,Duchesne,Residents reported rotten egg odor and nausea near oilfield infrastructure.,2,5,archive/extracted_text/legacy/00004304.txt,"hydrogen, infrastructure, duchesne, community, anonymous",
12,,Hydrogen Sulfide Odor Complaint,Duchesne,Residents reported rotten egg odor and nausea near oilfield infrastructure.,3,5,archive/extracted_text/legacy/00004308.txt,"hydrogen, infrastructure, duchesne, community, anonymous",
12,,Hydrogen Sulfide Odor Complaint,Duchesne,Residents reported rotten egg odor and nausea near oilfield infrastructure.,4,5,archive/extracted_text/legacy/00004310.txt,"hydrogen, infrastructure, duchesne, community, anonymous",
12,,Hydrogen Sulfide Odor Complaint,Duchesne,Residents reported rotten egg odor and nausea near oilfield infrastructure.,5,5,archive/extracted_text/legacy/00004319.txt,"hydrogen, infrastructure, duchesne, community, anonymous",
13,,Landfill Odor Complaint,Duchesne,Residents reported strong landfill odor during inversion conditions.,1,18,archive/sources/complaint_records/014_complaint_014.html,"landfill, strong, landfill, during, inversion, conditions, duchesne, resident, waste, waste, phrase_match",
13,,Landfill Odor Complaint,Duchesne,Residents reported strong landfill odor during inversion conditions.,2,12,archive/extracted_text/legacy/00004312.txt,"landfill, strong, landfill, during, inversion, conditions, duchesne, resident, waste, waste, management, anonymous",http://edsitement.neh.gov/lesson-plan/statue-liberty-meaning-and-use-national
13,,Landfill Odor Complaint,Duchesne,Residents reported strong landfill odor during inversion conditions.,3,11,archive/extracted_text/legacy/00003553.txt,"landfill, strong, landfill, during, conditions, duchesne, resident, waste, waste, management, anonymous",
13,,Landfill Odor Complaint,Duchesne,Residents reported strong landfill odor during inversion conditions.,4,11,archive/extracted_text/legacy/00003556.txt,"landfill, strong, landfill, during, inversion, conditions, duchesne, resident, waste, waste, management",https://www.fhwa.dot.gov/ohim/summary95/mv
13,,Landfill Odor Complaint,Duchesne,Residents reported strong landfill odor during inversion conditions.,5,11,archive/extracted_text/legacy/00004305.txt,"landfill, strong, landfill, during, inversion, conditions, duchesne, resident, waste, waste, management",
14,,Mosquito Abatement Chemical Complaint,Duchesne,Community concerns raised regarding aerial pesticide spraying and potential health impacts.,1,27,archive/sources/complaint_records/015_complaint_015.html,"mosquito, abatement, chemical, community, concerns, raised, regarding, aerial, pesticide, spraying, potential, health",
14,,Mosquito Abatement Chemical Complaint,Duchesne,Community concerns raised regarding aerial pesticide spraying and potential health impacts.,2,20,archive/extracted_text/legacy/Duchesne_CRMP_2022.txt,"mosquito, abatement, chemical, community, concerns, raised, regarding, aerial, pesticide, spraying, potential, health",https://eplanning.blm.gov/epl-front-11
14,,Mosquito Abatement Chemical Complaint,Duchesne,Community concerns raised regarding aerial pesticide spraying and potential health impacts.,3,20,archive/extracted_text/legacy/General-Plan-2024-1.txt,"mosquito, abatement, chemical, community, concerns, raised, regarding, aerial, pesticide, spraying, potential, health",https://eplanning.blm.gov/epl-front-11
14,,Mosquito Abatement Chemical Complaint,Duchesne,Community concerns raised regarding aerial pesticide spraying and potential health impacts.,4,18,archive/extracted_text/legacy/00004307.txt,"mosquito, abatement, chemical, community, concerns, raised, regarding, aerial, pesticide, potential, health, impacts",
14,,Mosquito Abatement Chemical Complaint,Duchesne,Community concerns raised regarding aerial pesticide spraying and potential health impacts.,5,17,archive/extracted_text/legacy/00004315.txt,"mosquito, abatement, chemical, community, concerns, raised, regarding, pesticide, potential, health, impacts, duchesne",
16,complaint_2023_higley_lamb_road_haul_route,Truck Traffic / Haul Route Complaint,Duchesne,"Concerns raised about truck haul routes, road damage, and mining-related traffic in the Lamb Road / Higley area.",1,38,archive/sources/complaint_records/017_complaint_2023_higley_lamb_road_haul_route.html,"truck, traffic, route, concerns, raised, about, truck, routes, damage, mining, related, traffic",
16,complaint_2023_higley_lamb_road_haul_route,Truck Traffic / Haul Route Complaint,Duchesne,"Concerns raised about truck haul routes, road damage, and mining-related traffic in the Lamb Road / Higley area.",2,23,archive/extracted_text/legacy/00004307.txt,"truck, traffic, route, concerns, raised, about, truck, routes, damage, mining, related, traffic",
16,complaint_2023_higley_lamb_road_haul_route,Truck Traffic / Haul Route Complaint,Duchesne,"Concerns raised about truck haul routes, road damage, and mining-related traffic in the Lamb Road / Higley area.",3,23,archive/extracted_text/legacy/00004320.txt,"truck, traffic, route, concerns, raised, about, truck, routes, damage, mining, related, traffic",
16,complaint_2023_higley_lamb_road_haul_route,Truck Traffic / Haul Route Complaint,Duchesne,"Concerns raised about truck haul routes, road damage, and mining-related traffic in the Lamb Road / Higley area.",4,23,archive/extracted_text/legacy/00004326.txt,"truck, traffic, route, concerns, raised, about, truck, routes, damage, mining, related, traffic",
16,complaint_2023_higley_lamb_road_haul_route,Truck Traffic / Haul Route Complaint,Duchesne,"Concerns raised about truck haul routes, road damage, and mining-related traffic in the Lamb Road / Higley area.",5,23,archive/extracted_text/legacy/Duchesne-County-TMP_Final_Compressed-2025.txt,"truck, traffic, route, concerns, raised, about, truck, routes, damage, mining, related, traffic",https://app.powerbigov.us/view?r=eyjrijointlinzm1ndmtndflns00nwi1lwixztctogjlztzhyje3ymziii
17,complaint_2016_quarry_dust_control,Dust Complaint / Quarry Condition,Duchesne,County conditions required quarry trucks to control speed on gravel roads to reduce dust impacts.,1,29,archive/sources/complaint_records/018_complaint_2016_quarry_dust_control.html,"quarry, condition, conditions, required, quarry, trucks, control, speed, gravel, roads, reduce, impacts",
17,complaint_2016_quarry_dust_control,Dust Complaint / Quarry Condition,Duchesne,County conditions required quarry trucks to control speed on gravel roads to reduce dust impacts.,2,22,archive/extracted_text/legacy/December-7-2016.txt,"quarry, condition, conditions, required, quarry, trucks, control, speed, gravel, roads, reduce, impacts",
17,complaint_2016_quarry_dust_control,Dust Complaint / Quarry Condition,Duchesne,County conditions required quarry trucks to control speed on gravel roads to reduce dust impacts.,3,21,archive/extracted_text/legacy/September-4-2013.txt,"quarry, condition, conditions, required, quarry, trucks, control, gravel, roads, reduce, impacts, duchesne",
17,complaint_2016_quarry_dust_control,Dust Complaint / Quarry Condition,Duchesne,County conditions required quarry trucks to control speed on gravel roads to reduce dust impacts.,4,20,archive/extracted_text/legacy/April-2-2014.txt,"quarry, condition, conditions, required, quarry, trucks, control, gravel, roads, impacts, duchesne, duchesne",
17,complaint_2016_quarry_dust_control,Dust Complaint / Quarry Condition,Duchesne,County conditions required quarry trucks to control speed on gravel roads to reduce dust impacts.,5,20,archive/clean/promoted_keep.json,"quarry, condition, conditions, required, quarry, trucks, control, speed, gravel, roads, reduce, impacts",
18,complaint_2012_pleasant_valley_crusher_dust,Dust / Crusher Complaint,Duchesne,"Residents raised concerns about dust, crusher activity, truck traffic, asthma impacts, and noncompliance near the Pleasant Valley gravel pit / rock crusher area.",1,37,archive/sources/complaint_records/019_complaint_2012_pleasant_valley_crusher_dust.html,"crusher, raised, concerns, about, crusher, activity, truck, traffic, asthma, impacts, noncompliance, pleasant",
18,complaint_2012_pleasant_valley_crusher_dust,Dust / Crusher Complaint,Duchesne,"Residents raised concerns about dust, crusher activity, truck traffic, asthma impacts, and noncompliance near the Pleasant Valley gravel pit / rock crusher area.",2,22,archive/extracted_text/legacy/00004302.txt,"crusher, raised, concerns, about, crusher, activity, truck, traffic, asthma, impacts, noncompliance, valley",
18,complaint_2012_pleasant_valley_crusher_dust,Dust / Crusher Complaint,Duchesne,"Residents raised concerns about dust, crusher activity, truck traffic, asthma impacts, and noncompliance near the Pleasant Valley gravel pit / rock crusher area.",3,22,archive/extracted_text/legacy/s1983.txt,"crusher, raised, concerns, about, crusher, activity, truck, traffic, asthma, impacts, noncompliance, valley",
18,complaint_2012_pleasant_valley_crusher_dust,Dust / Crusher Complaint,Duchesne,"Residents raised concerns about dust, crusher activity, truck traffic, asthma impacts, and noncompliance near the Pleasant Valley gravel pit / rock crusher area.",4,21,archive/extracted_text/legacy/00003557.txt,"crusher, about, crusher, activity, truck, traffic, asthma, impacts, noncompliance, pleasant, valley, gravel",https://www.fhwa.dot.gov/ohim/summary95/mv
18,complaint_2012_pleasant_valley_crusher_dust,Dust / Crusher Complaint,Duchesne,"Residents raised concerns about dust, crusher activity, truck traffic, asthma impacts, and noncompliance near the Pleasant Valley gravel pit / rock crusher area.",5,21,archive/extracted_text/legacy/00004307.txt,"crusher, raised, concerns, about, crusher, activity, truck, traffic, impacts, pleasant, valley, gravel",
