"candidate_id","year_guess","county_guess","category_guess","source_file","line_number","matched_line","context"
"real_candidate_00127","2023","Duchesne","Air Quality / Odor / H2S","12-6-23.txt","934","and Utah air quality rules require 24/7 dust control by applications of water","authorized agent must follow this plan to control dust at active mining areas and driving surfaces, including haul roads.  The County nuisance ordinance and Utah air quality rules require 24/7 dust control by applications of water and/or dust suppressants (such as magnesium chloride).  If dust complaints received by Duchesne County, TriCounty Health, or DEQ, the mini ng"
"real_candidate_00130","2023","Duchesne","Dust / PM / Gravel","12-6-23.txt","937","operations shall cease until the event can be mitigated.","and/or dust suppressants (such as magnesium chloride).  If dust complaints received by Duchesne County, TriCounty Health, or DEQ, the mini ng operations shall cease until the event can be mitigated. F. Operating Hours: Findings: see Finding A-1-6 on page 4."
"real_candidate_00176","2023","Duchesne","Air Quality / Odor / H2S","5-3-23.txt","234","air quality rules require 24/7 dust control by applications of water and/or dust","this plan to control dust at active mining areas and driving surfaces, including roads between Highway 87 and the mining site.  The county nuisance ordinance and state air quality rules require 24/7 dust control by applications of water and/or dust suppressants (such as magnesium chloride). If any dust complaints are received by Duchesne County, Roosevelt City or TriCounty Health, the mining operations shall"
"real_candidate_00179","2023","Duchesne","Dust / PM / Gravel","5-3-23.txt","237","cease until the dust event can be mitigated.","suppressants (such as magnesium chloride). If any dust complaints are received by Duchesne County, Roosevelt City or TriCounty Health, the mining operations shall cease until the dust event can be mitigated. B. Bond Required: A bond shall be issued in the amount of five thousand dollars ($5,000.00) for the first acre, and three thousand dollars ($3,000.00) for each additional acre from"
"real_candidate_00203","2023","Duchesne","Air Quality / Odor / H2S","6-7-23.txt","332","control by applications of water and/or dust suppressants (such as magnesium","this plan to control dust at active mining areas and driving surfaces, including haul roads.  The county nuisance ordinance and state air quality rules require 24/7 dust control by applications of water and/or dust suppressants (such as magnesium chloride).  If dust complaints received by Duchesne County, Roosevelt City or TriCounty Health, the mining operations shall cease until the event can be"
"real_candidate_00205","2023","Duchesne","Dust / PM / Gravel","6-7-23.txt","334","TriCounty Health, the mining operations shall cease until the event can be","control by applications of water and/or dust suppressants (such as magnesium chloride).  If dust complaints received by Duchesne County, Roosevelt City or TriCounty Health, the mining operations shall cease until the event can be mitigated. B. Bond Required: A bond shall be issued in the amount of five thousand dollars ($5,000.00)"
"real_candidate_00222","2023","Unknown","Noise / Vibration","8-2-23.txt","397","sentence to indicate customers may have access to their equipment earlier or later than those","Mike Hyde:  You might want to consider a slight amendment to Recommendation #8 adding a sentence to indicate customers may have access to their equipment earlier or later than those nuisance ordinance hours provided it doesn?t become a problem.  There is only one surrounding home near this location so I don?t anticipate customers will generate noise complaints."
"real_candidate_00225","2023","Unknown","Traffic / Haul Route","8-2-23.txt","400","","nuisance ordinance hours provided it doesn?t become a problem.  There is only one surrounding home near this location so I don?t anticipate customers will generate noise complaints. Shon McKinnon:  Yes, I can?t imagine the noise would be much more than the surrounding traffic."
"real_candidate_00100","2019","Unknown","Dust / PM / Gravel","10-02-19.txt","199","","by the Community Development Director, unless noise complaints are received. 2. The Owners or their authorized agents shall reclaim the property in accordance with the county?s ?Material Pit Finishing Standards? and protect the public from any"
"real_candidate_00098","2019","Unknown","Noise / Vibration","10-02-19.txt","197","by the Community Development Director, unless noise complaints are","on Saturdays and 9:00 AM to 9:30 PM on Sundays and holidays). Operations other than crushing may occur beyond those hours if approved by the Community Development Director, unless noise complaints are received."
"real_candidate_00246","2016","Unknown","Noise / Vibration","April-6-2016.txt","272","2. The proposed use will be located and conducted in compliance with the goals","9:30 PM on Sundays and holidays).  Such time limits should be applied in this case if noise complaints are received by the county. 2. The proposed use will be located and conducted in compliance with the goals and policies of the county general plan and the purposes of this title. Mr. Hyde stated in this case, the applicants intend to use the earth products to support"
"real_candidate_00247","2016","Unknown","Dust / PM / Gravel","April-6-2016.txt","273","and policies of the county general plan and the purposes of this title.","noise complaints are received by the county. 2. The proposed use will be located and conducted in compliance with the goals and policies of the county general plan and the purposes of this title. Mr. Hyde stated in this case, the applicants intend to use the earth products to support their own needs for pipe bedding material and sand for roads in the winter, which is"
"real_candidate_00271","2016","Duchesne","Dust / PM / Gravel","December-7-2016.txt","164","2. Applicants shall not install fueling facilities unless plans are first approved by the","1. Noise on the property associated with the airstr ip shall be limited to the hours between 7:00 A.M and 9:30 P.M. 2. Applicants shall not install fueling facilities unless plans are first approved by the Duchesne County Fire Chief. 3. Applicants agree to initiate dust control measures if dust complaints are received by"
