"candidate_id","year_guess","county_guess","category_guess","source_file","line_number","matched_line","context"
"real_candidate_00163","2024","Unknown","Noise / Vibration","5-1-24-Final-MGedits.txt","213","? Hobart Willis answered that they would like to put in soundproof windows into","o Annette Miller asked Hobart Willis if he?d been in contact with them about their noise complaints since? ? Hobart Willis answered that they would like to put in soundproof windows into our homes, and they said they would pay the cost to do it.  They would also like to strip our homes and put a heavy layer of stucco around the outside, and air"
"real_candidate_00152","2024","Unknown","Flaring / Emissions","5-1-24-Final-MGedits.txt","41","Department).","generation facilities are allowed and establish standards to mitigate the impacts of such facilities. Findings of Fact (Which can be found on file with the Community Development Department). o Mike Hyde stated the county has received some complaints about a flare gas power"
"real_candidate_00302","2024","Duchesne","Dust / PM / Gravel","Duchesne-County-Planning-Commission-Meeting-Minutes-June-26th-2024.txt","167","? Mike Gottfredson (Community Development):","? Response from Mike Hyde: County commissioners are receiving daily complaints about road impacts and feel an urgent need to address them. ? Mike Gottfredson (Community Development): ? Comment: Shared that several million dollars from the county's rainy-day fund had been used for road repairs this year due to industry impacts."
"real_candidate_00299","2024","Duchesne","Public Concern / Needs Review","Duchesne-County-Planning-Commission-Meeting-Minutes-June-26th-2024.txt","164","complete the ordinance.","? Commissioner Miller: ? Question: Inquired about the urgency from the county commissioners to complete the ordinance. ? Response from Mike Hyde: County commissioners are receiving daily complaints about road impacts and feel an urgent need to address them."
"real_candidate_00300","2024","Duchesne","Public Concern / Needs Review","Duchesne-County-Planning-Commission-Meeting-Minutes-June-26th-2024.txt","165","? Response from Mike Hyde: County commissioners are receiving daily","? Question: Inquired about the urgency from the county commissioners to complete the ordinance. ? Response from Mike Hyde: County commissioners are receiving daily complaints about road impacts and feel an urgent need to address them. ? Mike Gottfredson (Community Development):"
"real_candidate_00301","2024","Duchesne","Public Concern / Needs Review","Duchesne-County-Planning-Commission-Meeting-Minutes-June-26th-2024.txt","166","complaints about road impacts and feel an urgent need to address them.","complete the ordinance. ? Response from Mike Hyde: County commissioners are receiving daily complaints about road impacts and feel an urgent need to address them. ? Mike Gottfredson (Community Development): ? Comment: Shared that several million dollars from the county's rainy-day fund"
"real_candidate_00136","2023","Duchesne","Dust / PM / Gravel","4-05-23.txt","241","the paved county road and the mining site.  Roosevelt City requests 24/7 dust control by","plan by le?er dated March 22, 2023.  The applicant or authorized agent must follow this plan to control dust at ac?ve mining areas and driving surfaces, including roads between the paved county road and the mining site.  Roosevelt City requests 24/7 dust control by applica?ons of water and/or dust suppressants (such as magnesium chloride) and that if there are any dust complaints received from pilots or the public, the mining opera?ons"
"real_candidate_00137","2023","Duchesne","Dust / PM / Gravel","4-05-23.txt","242","applica?ons of water and/or dust suppressants (such as magnesium chloride) and that if","plan to control dust at ac?ve mining areas and driving surfaces, including roads between the paved county road and the mining site.  Roosevelt City requests 24/7 dust control by applica?ons of water and/or dust suppressants (such as magnesium chloride) and that if there are any dust complaints received from pilots or the public, the mining opera?ons shall cease un?l the event can be mi?gated."
"real_candidate_00138","2023","Duchesne","Dust / PM / Gravel","4-05-23.txt","243","there are any dust complaints received from pilots or the public, the mining opera?ons","the paved county road and the mining site.  Roosevelt City requests 24/7 dust control by applica?ons of water and/or dust suppressants (such as magnesium chloride) and that if there are any dust complaints received from pilots or the public, the mining opera?ons shall cease un?l the event can be mi?gated. B. Bond Required: A bond shall be issued in the amount of ?ve thousand dollars ($5,000.00) for"
"real_candidate_00139","2023","Unknown","Dust / PM / Gravel","4-05-23.txt","244","shall cease un?l the event can be mi?gated.","applica?ons of water and/or dust suppressants (such as magnesium chloride) and that if there are any dust complaints received from pilots or the public, the mining opera?ons shall cease un?l the event can be mi?gated. B. Bond Required: A bond shall be issued in the amount of ?ve thousand dollars ($5,000.00) for the ?rst acre, and three thousand dollars ($3,000.00) for each addi?onal acre from which such"
"real_candidate_00140","2023","Unknown","Dust / PM / Gravel","4-05-23.txt","245","B. Bond Required: A bond shall be issued in the amount of ?ve thousand dollars ($5,000.00) for","there are any dust complaints received from pilots or the public, the mining opera?ons shall cease un?l the event can be mi?gated. B. Bond Required: A bond shall be issued in the amount of ?ve thousand dollars ($5,000.00) for the ?rst acre, and three thousand dollars ($3,000.00) for each addi?onal acre from which such material is taken as a guarantee of recondi?oning. The number of acres must be speci?ed on"
"real_candidate_00144","2023","Duchesne","Dust / PM / Gravel","4-05-23.txt","335","shall cease un?l the event can be mi?gated.","by applica?on of water and/or dust suppressants such as magnesium chloride. d. If there are any dust complaints received from pilots or the public, the mining opera?ons shall cease un?l the event can be mi?gated. e. To minimize dust impacts on the Roosevelt Municipal Airport, sand mining opera?ons shall not occur within 1000 feet of the runway or in the approach surface at the east end"
"real_candidate_00145","2023","Duchesne","Dust / PM / Gravel","4-05-23.txt","336","e. To minimize dust impacts on the Roosevelt Municipal Airport, sand mining opera?ons","d. If there are any dust complaints received from pilots or the public, the mining opera?ons shall cease un?l the event can be mi?gated. e. To minimize dust impacts on the Roosevelt Municipal Airport, sand mining opera?ons shall not occur within 1000 feet of the runway or in the approach surface at the east end of the runway (see ?No Mining Area? exhibit map prepared by Roosevelt City?s airport"
"real_candidate_00141","2023","Duchesne","Dust / PM / Gravel","4-05-23.txt","332","c. Pursuant to Roosevelt City?s request, the applicant shall provide dust control at all ?mes","9:30 PM on weekdays, 8:00 AM to 9:30 PM on Saturdays and 9:00 AM to 9:30 PM on Sundays and holidays). c. Pursuant to Roosevelt City?s request, the applicant shall provide dust control at all ?mes by applica?on of water and/or dust suppressants such as magnesium chloride. d. If there are any dust complaints received from pilots or the public, the mining opera?ons"
"real_candidate_00142","2023","Duchesne","Dust / PM / Gravel","4-05-23.txt","333","by applica?on of water and/or dust suppressants such as magnesium chloride.","Sundays and holidays). c. Pursuant to Roosevelt City?s request, the applicant shall provide dust control at all ?mes by applica?on of water and/or dust suppressants such as magnesium chloride. d. If there are any dust complaints received from pilots or the public, the mining opera?ons shall cease un?l the event can be mi?gated."
"real_candidate_00143","2023","Duchesne","Dust / PM / Gravel","4-05-23.txt","334","d. If there are any dust complaints received from pilots or the public, the mining opera?ons","c. Pursuant to Roosevelt City?s request, the applicant shall provide dust control at all ?mes by applica?on of water and/or dust suppressants such as magnesium chloride. d. If there are any dust complaints received from pilots or the public, the mining opera?ons shall cease un?l the event can be mi?gated. e. To minimize dust impacts on the Roosevelt Municipal Airport, sand mining opera?ons"
"real_candidate_00109","2023","Unknown","Air Quality / Odor / H2S","10-4-23.txt","570","County nuisance ordinance and Utah air quality rules require 24/7 dust control by","control plan for this location.  The applicant or authorized agent must follow this plan to control dust at active mining areas and driving surfaces, including haul roads.  The County nuisance ordinance and Utah air quality rules require 24/7 dust control by applications of water and/or dust suppressants (such as magnesium chloride).  There will be no rock crushing associated with this operation.  If dust complaints received by"
"real_candidate_00110","2023","Duchesne","Air Quality / Odor / H2S","10-4-23.txt","571","applications of water and/or dust suppressants (such as magnesium chloride).  There will","control dust at active mining areas and driving surfaces, including haul roads.  The County nuisance ordinance and Utah air quality rules require 24/7 dust control by applications of water and/or dust suppressants (such as magnesium chloride).  There will be no rock crushing associated with this operation.  If dust complaints received by Duchesne County, TriCounty Health, or DEQ, the mining operations shall cease until the"
"real_candidate_00111","2023","Duchesne","Air Quality / Odor / H2S","10-4-23.txt","572","be no rock crushing associated with this operation.  If dust complaints received by","County nuisance ordinance and Utah air quality rules require 24/7 dust control by applications of water and/or dust suppressants (such as magnesium chloride).  There will be no rock crushing associated with this operation.  If dust complaints received by Duchesne County, TriCounty Health, or DEQ, the mining operations shall cease until the event can be mitigated."
"real_candidate_00112","2023","Duchesne","Dust / PM / Gravel","10-4-23.txt","573","Duchesne County, TriCounty Health, or DEQ, the mining operations shall cease until the","applications of water and/or dust suppressants (such as magnesium chloride).  There will be no rock crushing associated with this operation.  If dust complaints received by Duchesne County, TriCounty Health, or DEQ, the mining operations shall cease until the event can be mitigated. B. Bond Required: A bond shall be issued in the amount of five thousand dollars ($5,000.00)"
"real_candidate_00113","2023","Duchesne","Dust / PM / Gravel","10-4-23.txt","574","event can be mitigated.","be no rock crushing associated with this operation.  If dust complaints received by Duchesne County, TriCounty Health, or DEQ, the mining operations shall cease until the event can be mitigated. B. Bond Required: A bond shall be issued in the amount of five thousand dollars ($5,000.00) for the first acre, and three thousand dollars ($3,000.00) for each additional acre from"
"real_candidate_00127","2023","Duchesne","Air Quality / Odor / H2S","12-6-23.txt","934","and Utah air quality rules require 24/7 dust control by applications of water","authorized agent must follow this plan to control dust at active mining areas and driving surfaces, including haul roads.  The County nuisance ordinance and Utah air quality rules require 24/7 dust control by applications of water and/or dust suppressants (such as magnesium chloride).  If dust complaints received by Duchesne County, TriCounty Health, or DEQ, the mini ng"
"real_candidate_00128","2023","Duchesne","Air Quality / Odor / H2S","12-6-23.txt","935","and/or dust suppressants (such as magnesium chloride).  If dust complaints","and driving surfaces, including haul roads.  The County nuisance ordinance and Utah air quality rules require 24/7 dust control by applications of water and/or dust suppressants (such as magnesium chloride).  If dust complaints received by Duchesne County, TriCounty Health, or DEQ, the mini ng operations shall cease until the event can be mitigated."
"real_candidate_00129","2023","Duchesne","Air Quality / Odor / H2S","12-6-23.txt","936","received by Duchesne County, TriCounty Health, or DEQ, the mini ng","and Utah air quality rules require 24/7 dust control by applications of water and/or dust suppressants (such as magnesium chloride).  If dust complaints received by Duchesne County, TriCounty Health, or DEQ, the mini ng operations shall cease until the event can be mitigated. F. Operating Hours:"
"real_candidate_00130","2023","Duchesne","Dust / PM / Gravel","12-6-23.txt","937","operations shall cease until the event can be mitigated.","and/or dust suppressants (such as magnesium chloride).  If dust complaints received by Duchesne County, TriCounty Health, or DEQ, the mini ng operations shall cease until the event can be mitigated. F. Operating Hours: Findings: see Finding A-1-6 on page 4."
"real_candidate_00176","2023","Duchesne","Air Quality / Odor / H2S","5-3-23.txt","234","air quality rules require 24/7 dust control by applications of water and/or dust","this plan to control dust at active mining areas and driving surfaces, including roads between Highway 87 and the mining site.  The county nuisance ordinance and state air quality rules require 24/7 dust control by applications of water and/or dust suppressants (such as magnesium chloride). If any dust complaints are received by Duchesne County, Roosevelt City or TriCounty Health, the mining operations shall"
"real_candidate_00177","2023","Duchesne","Air Quality / Odor / H2S","5-3-23.txt","235","suppressants (such as magnesium chloride). If any dust complaints are received by","between Highway 87 and the mining site.  The county nuisance ordinance and state air quality rules require 24/7 dust control by applications of water and/or dust suppressants (such as magnesium chloride). If any dust complaints are received by Duchesne County, Roosevelt City or TriCounty Health, the mining operations shall cease until the dust event can be mitigated."
"real_candidate_00178","2023","Duchesne","Air Quality / Odor / H2S","5-3-23.txt","236","Duchesne County, Roosevelt City or TriCounty Health, the mining operations shall","air quality rules require 24/7 dust control by applications of water and/or dust suppressants (such as magnesium chloride). If any dust complaints are received by Duchesne County, Roosevelt City or TriCounty Health, the mining operations shall cease until the dust event can be mitigated. B. Bond Required: A bond shall be issued in the amount of five thousand dollars ($5,000.00)"
"real_candidate_00179","2023","Duchesne","Dust / PM / Gravel","5-3-23.txt","237","cease until the dust event can be mitigated.","suppressants (such as magnesium chloride). If any dust complaints are received by Duchesne County, Roosevelt City or TriCounty Health, the mining operations shall cease until the dust event can be mitigated. B. Bond Required: A bond shall be issued in the amount of five thousand dollars ($5,000.00) for the first acre, and three thousand dollars ($3,000.00) for each additional acre from"
"real_candidate_00183","2023","Duchesne","Dust / PM / Gravel","5-3-23.txt","348","TriCounty Health Department, the mining operations shall cease until the dust","application of water and/or dust suppressants such as magnesium chloride.  If there are any dust complaints received by Duchesne County, Roosevelt City or the TriCounty Health Department, the mining operations shall cease until the dust event can be mitigated."
"real_candidate_00185","2023","Unknown","Dust / PM / Gravel","5-3-23.txt","436","property, but I  have heard that at the airport they have had sand blowing in and","Mike Hyde:  Our office has not received any dust complaints on current operations on the Patry property, but I  have heard that at the airport they have had sand blowing in and around their fueling station that has been problematic.  I don?t know if it is coming from your operation or the natural blow sand in the area.  Can you describe for the"
"real_candidate_00186","2023","Unknown","Dust / PM / Gravel","5-3-23.txt","437","around their fueling station that has been problematic.  I don?t know if it is coming","Mike Hyde:  Our office has not received any dust complaints on current operations on the Patry property, but I  have heard that at the airport they have had sand blowing in and around their fueling station that has been problematic.  I don?t know if it is coming from your operation or the natural blow sand in the area.  Can you describe for the commission what you have in terms of access to water and equipment to keep the"
"real_candidate_00190","2023","Duchesne","Dust / PM / Gravel","5-3-23.txt","581","the TriCounty Health Department, the mining operations shall cease until the dust","application of water and/or dust suppressants such as magnesium chloride.  If there are any dust complaints received by Duchesne County, Roosevelt City or the TriCounty Health Department, the mining operations shall cease until the dust event can be mitigated."
"real_candidate_00192","2023","Duchesne","Air Quality / Odor / H2S","5-3-23.txt","939","roads.  The county nuisance ordinance and state air quality rules require 24/7 dust","this plan to control dust at active mining areas and driving surfaces, including haul roads.  The county nuisance ordinance and state air quality rules require 24/7 dust control by applications of water and/or dust suppressants (such as magnesium chloride).  If dust complaints received by Duchesne County, Roosevelt City or"
"real_candidate_00193","2023","Duchesne","Air Quality / Odor / H2S","5-3-23.txt","940","control by applications of water and/or dust suppressants (such as magnesium","this plan to control dust at active mining areas and driving surfaces, including haul roads.  The county nuisance ordinance and state air quality rules require 24/7 dust control by applications of water and/or dust suppressants (such as magnesium chloride).  If dust complaints received by Duchesne County, Roosevelt City or TriCounty Health, the mining operations shall cease until the event can be"
"real_candidate_00194","2023","Duchesne","Air Quality / Odor / H2S","5-3-23.txt","941","chloride).  If dust complaints received by Duchesne County, Roosevelt City or","roads.  The county nuisance ordinance and state air quality rules require 24/7 dust control by applications of water and/or dust suppressants (such as magnesium chloride).  If dust complaints received by Duchesne County, Roosevelt City or TriCounty Health, the mining operations shall cease until the event can be mitigated."
"real_candidate_00195","2023","Duchesne","Dust / PM / Gravel","5-3-23.txt","942","TriCounty Health, the mining operations shall cease until the event can be","control by applications of water and/or dust suppressants (such as magnesium chloride).  If dust complaints received by Duchesne County, Roosevelt City or TriCounty Health, the mining operations shall cease until the event can be mitigated. B.  Bond Required: A bond shall be issued in the amount of five thousand dollars ($5,000.00)"
"real_candidate_00196","2023","Duchesne","Dust / PM / Gravel","5-3-23.txt","943","mitigated.","chloride).  If dust complaints received by Duchesne County, Roosevelt City or TriCounty Health, the mining operations shall cease until the event can be mitigated. B.  Bond Required: A bond shall be issued in the amount of five thousand dollars ($5,000.00) for the first acre, and three thousand dollars ($3,000.00) for each additional acre from which"
"real_candidate_00200","2023","Duchesne","Dust / PM / Gravel","5-3-23.txt","1054","TriCounty Health, the mining operations shall cease until the event can be","application of water and/or dust suppressants such as magnesium chloride.  If there are any dust complaints received by Duchesne County, Roosevelt City or TriCounty Health, the mining operations shall cease until the event can be mitigated."
"real_candidate_00203","2023","Duchesne","Air Quality / Odor / H2S","6-7-23.txt","332","control by applications of water and/or dust suppressants (such as magnesium","this plan to control dust at active mining areas and driving surfaces, including haul roads.  The county nuisance ordinance and state air quality rules require 24/7 dust control by applications of water and/or dust suppressants (such as magnesium chloride).  If dust complaints received by Duchesne County, Roosevelt City or TriCounty Health, the mining operations shall cease until the event can be"
"real_candidate_00204","2023","Duchesne","Air Quality / Odor / H2S","6-7-23.txt","333","chloride).  If dust complaints received by Duchesne County, Roosevelt City or","roads.  The county nuisance ordinance and state air quality rules require 24/7 dust control by applications of water and/or dust suppressants (such as magnesium chloride).  If dust complaints received by Duchesne County, Roosevelt City or TriCounty Health, the mining operations shall cease until the event can be mitigated."
"real_candidate_00205","2023","Duchesne","Dust / PM / Gravel","6-7-23.txt","334","TriCounty Health, the mining operations shall cease until the event can be","control by applications of water and/or dust suppressants (such as magnesium chloride).  If dust complaints received by Duchesne County, Roosevelt City or TriCounty Health, the mining operations shall cease until the event can be mitigated. B. Bond Required: A bond shall be issued in the amount of five thousand dollars ($5,000.00)"
"real_candidate_00206","2023","Duchesne","Dust / PM / Gravel","6-7-23.txt","335","mitigated.","chloride).  If dust complaints received by Duchesne County, Roosevelt City or TriCounty Health, the mining operations shall cease until the event can be mitigated. B. Bond Required: A bond shall be issued in the amount of five thousand dollars ($5,000.00) for the first acre, and three thousand dollars ($3,000.00) for each additional acre from"
"real_candidate_00210","2023","Duchesne","Dust / PM / Gravel","6-7-23.txt","451","DUCHESNE COUNTY","application of water and/or dust suppressants such as magnesium chloride.  If there are any dust complaints received by Duchesne County, Roosevelt City or DUCHESNE COUNTY PLANNING COMMISSION MEETING June 7, 2023"
"real_candidate_00211","2023","Duchesne","Dust / PM / Gravel","6-7-23.txt","452","PLANNING COMMISSION MEETING","are any dust complaints received by Duchesne County, Roosevelt City or DUCHESNE COUNTY PLANNING COMMISSION MEETING June 7, 2023"
"real_candidate_00212","2023","Duchesne","Dust / PM / Gravel","6-7-23.txt","837","","Page 19 of 37 that there is a water connection at 4400 West 12400 South that will provide water for dust control.  If dust complaints received by Duchesne County or TriCounty"
"real_candidate_00213","2023","Duchesne","Dust / PM / Gravel","6-7-23.txt","838","that there is a water connection at 4400 West 12400 South that will provide water","Page 19 of 37 that there is a water connection at 4400 West 12400 South that will provide water for dust control.  If dust complaints received by Duchesne County or TriCounty Health, the mining operations shall cease until the event can be mitigated."
"real_candidate_00214","2023","Duchesne","Dust / PM / Gravel","6-7-23.txt","839","for dust control.  If dust complaints received by Duchesne County or TriCounty","that there is a water connection at 4400 West 12400 South that will provide water for dust control.  If dust complaints received by Duchesne County or TriCounty Health, the mining operations shall cease until the event can be mitigated. B.  Bond Required: A bond shall be issued in the amount of five thousand dollars ($5,000.00)"
"real_candidate_00215","2023","Duchesne","Dust / PM / Gravel","6-7-23.txt","840","Health, the mining operations shall cease until the event can be mitigated.","that there is a water connection at 4400 West 12400 South that will provide water for dust control.  If dust complaints received by Duchesne County or TriCounty Health, the mining operations shall cease until the event can be mitigated. B.  Bond Required: A bond shall be issued in the amount of five thousand dollars ($5,000.00) for the first acre, and three thousand dollars ($3,000.00) for each additional acre from which"
"real_candidate_00216","2023","Duchesne","Dust / PM / Gravel","6-7-23.txt","841","B.  Bond Required: A bond shall be issued in the amount of five thousand dollars ($5,000.00)","for dust control.  If dust complaints received by Duchesne County or TriCounty Health, the mining operations shall cease until the event can be mitigated. B.  Bond Required: A bond shall be issued in the amount of five thousand dollars ($5,000.00) for the first acre, and three thousand dollars ($3,000.00) for each additional acre from which such material is taken as a guarantee of reconditioning. The number of acres must be"
"real_candidate_00114","2023","Duchesne","Dust / PM / Gravel","10-4-23.txt","662","Health Department. The applicant shall provide dust control at all times by","1. The applicant shall control dust and noise so neither becomes a nuisance. a. The applicant shall conform to the dust control plan approved by the TriCounty Health Department. The applicant shall provide dust control at all times by application of water and/or dust suppressants such as magnesium chloride.  If there are any dust complaints received by Duchesne County, TriCounty Health, or Utah"
"real_candidate_00116","2023","Duchesne","Dust / PM / Gravel","10-4-23.txt","664","are any dust complaints received by Duchesne County, TriCounty Health, or Utah","Health Department. The applicant shall provide dust control at all times by application of water and/or dust suppressants such as magnesium chloride.  If there are any dust complaints received by Duchesne County, TriCounty Health, or Utah Department of Environmental Quality, the mining operations shall cease until the event can be mitigated."
"real_candidate_00118","2023","Duchesne","Dust / PM / Gravel","10-4-23.txt","666","event can be mitigated.","are any dust complaints received by Duchesne County, TriCounty Health, or Utah Department of Environmental Quality, the mining operations shall cease until the event can be mitigated. b. The applicant shall comply with Duchesne County noise ordinances, and haul truck traffic shall comply with the following hours of mining operations: (7:00 AM to"
"real_candidate_00126","2023","Unknown","Air Quality / Odor / H2S","12-6-23.txt","933","and driving surfaces, including haul roads.  The County nuisance ordinance","DEQ approval of a dust control plan for this location.  The applicant or authorized agent must follow this plan to control dust at active mining areas and driving surfaces, including haul roads.  The County nuisance ordinance and Utah air quality rules require 24/7 dust control by applications of water and/or dust suppressants (such as magnesium chloride).  If dust complaints"
"real_candidate_00131","2023","Duchesne","Dust / PM / Gravel","12-6-23.txt","992","Health Department. The applicant shall provide dust control at all times by","1. The applicant shall control dust and noise so neither becomes a nuisance. a. The applicant shall conform to the dust control plan approved by the TriCounty Health Department. The applicant shall provide dust control at all times by application of water and/or dust suppressants such as magnesium chloride.  If there are any dust complaints received by Duchesne County , TriCounty"
"real_candidate_00133","2023","Duchesne","Dust / PM / Gravel","12-6-23.txt","994","there are any dust complaints received by Duchesne County , TriCounty","Health Department. The applicant shall provide dust control at all times by application of water and/or dust suppressants such as magnesium chloride.  If there are any dust complaints received by Duchesne County , TriCounty Health, or Utah Department of Environmental Quality, the industrial sand processing operations shall cease until the event can be mitigated."
"real_candidate_00135","2023","Duchesne","Dust / PM / Gravel","12-6-23.txt","996","processing operations shall cease until the event can be mitigated.","there are any dust complaints received by Duchesne County , TriCounty Health, or Utah Department of Environmental Quality, the industrial sand processing operations shall cease until the event can be mitigated. b. The applicant shall comply with Duchesne County noise ordinances, and haul truck traffic shall comply with the following hours of mining operations: (7:00"
"real_candidate_00175","2023","Unknown","Air Quality / Odor / H2S","5-3-23.txt","233","between Highway 87 and the mining site.  The county nuisance ordinance and state","dust control plan for this location.  The applicant or authorized agent must follow this plan to control dust at active mining areas and driving surfaces, including roads between Highway 87 and the mining site.  The county nuisance ordinance and state air quality rules require 24/7 dust control by applications of water and/or dust suppressants (such as magnesium chloride). If any dust complaints are received by"
"real_candidate_00180","2023","Duchesne","Dust / PM / Gravel","5-3-23.txt","345","Health Department.  The applicant shall provide dust control at all times by","1. The applicant shall control dust and noise so neither becomes a nuisance. a. The applicant shall conform to the dust control plan approved by the TriCounty Health Department.  The applicant shall provide dust control at all times by application of water and/or dust suppressants such as magnesium chloride.  If there are any dust complaints received by Duchesne County, Roosevelt City or the"
"real_candidate_00182","2023","Duchesne","Dust / PM / Gravel","5-3-23.txt","347","there are any dust complaints received by Duchesne County, Roosevelt City or the","Health Department.  The applicant shall provide dust control at all times by application of water and/or dust suppressants such as magnesium chloride.  If there are any dust complaints received by Duchesne County, Roosevelt City or the TriCounty Health Department, the mining operations shall cease until the dust event can be mitigated."
"real_candidate_00187","2023","Duchesne","Dust / PM / Gravel","5-3-23.txt","578","Health Department.  The applicant shall provide dust control at all times by","1. The applicant shall control dust and noise so neither becomes a nuisance. a. The applicant shall conform to the dust control plan approved by the TriCounty Health Department.  The applicant shall provide dust control at all times by application of water and/or dust suppressants such as magnesium chloride.  If there are any dust complaints received by Duchesne County, Roosevelt City or"
