candidate_id,confidence_score,county_guess,category_guess,source_file,source_path,line_number,matched_terms,review_status,matched_line,context,created_at
candidate_02060,22,Unknown,Dust / PM,June-4-2014.txt,archive/extracted_text/legacy/June-4-2014.txt,286,complaint; complaints,needs_human_review,complaints about the trucks and dust issues. Mr. Hyde replied the permits are good as,"Brett Anderson, an area resident stated his concern s about the traffic and the dust. He asked Mr. Hyde how long the permit is good for and who to call when there are complaints about the trucks and dust issues. Mr. Hyde replied the permits are good as long as they follow the conditions for approval. Mr. Hyde stated either the planning office or Nielsen Construction can be notified of a ny complaints. Mr. Anderson stated",2026-06-11T19:21:59
candidate_02264,22,Unknown,Dust / PM,May-2-2012.txt,archive/extracted_text/legacy/May-2-2012.txt,519,property owner stated,needs_human_review,"Lane Larsen, property owner stated there are other sources of dust and it could come","Mr. Miller will do what he needs to so they can work. Lane Larsen, property owner stated there are other sources of dust and it could come from any direction not just this sand and gravel pit. Mr. Larsen is not aware of any other complaints.",2026-06-11T19:22:00
candidate_02265,22,Unknown,Dust / PM,May-2-2012.txt,archive/extracted_text/legacy/May-2-2012.txt,521,complaint; complaints,needs_human_review,complaints.,"Lane Larsen, property owner stated there are other sources of dust and it could come from any direction not just this sand and gravel pit. Mr. Larsen is not aware of any other complaints. Mr. Hyde stated westerly on 10000 south it is under construction and very dusty with a",2026-06-11T19:22:00
candidate_02536,22,Duchesne,Dust / PM,September-2-2009.txt,archive/extracted_text/legacy/September-2-2009.txt,557,resident stated,needs_human_review,"David Lupold, a Blue Bench resident stated his conc erns with the dust also. This will","JRJ gravel pit that the residents already have to deal with. David Lupold, a Blue Bench resident stated his conc erns with the dust also. This will make three pits in the area with the JRJ pit and the Lex Fabrizio pit across the highway from his home. He is opposed to the approval of the  conditional use permit.",2026-06-11T19:22:00
candidate_02537,22,Duchesne,Dust / PM,September-2-2009.txt,archive/extracted_text/legacy/September-2-2009.txt,559,opposed to the approval,needs_human_review,from his home. He is opposed to the approval of the  conditional use permit.,"David Lupold, a Blue Bench resident stated his conc erns with the dust also. This will make three pits in the area with the JRJ pit and the Lex Fabrizio pit across the highway from his home. He is opposed to the approval of the  conditional use permit. Shelby Cardona, a Blue Bench resident, moved here b ecause it is a beautiful area and",2026-06-11T19:22:00
candidate_02611,22,Unknown,Air Quality / Odor,September-5-2012.txt,archive/extracted_text/legacy/September-5-2012.txt,440,health issues; property owner stated,needs_human_review,"Ted Rose, property owner stated his concerns for the community, health issues and","employees and the residents of the area and hope ev eryone can come together. Ted Rose, property owner stated his concerns for the community, health issues and quality of life. Mr. Rose stated there is a fog barrier that stays in the air you can’t breathe it makes you nauseous you can’t enjoy the f resh air in the evening. His family is",2026-06-11T19:22:00
candidate_02612,22,Unknown,Air Quality / Odor,September-5-2012.txt,archive/extracted_text/legacy/September-5-2012.txt,441,quality of life,needs_human_review,quality of life. Mr. Rose stated there is a fog barrier that stays in the air you can’t,"Ted Rose, property owner stated his concerns for the community, health issues and quality of life. Mr. Rose stated there is a fog barrier that stays in the air you can’t breathe it makes you nauseous you can’t enjoy the f resh air in the evening. His family is not able to stay here because of the smell so he le aves town to spend time with them.",2026-06-11T19:22:00
candidate_01804,21,Unknown,Air Quality / Odor,February-1-2012.txt,archive/extracted_text/legacy/February-1-2012.txt,143,nuisance; vibration,needs_human_review,"Nuisances: The mitigation of nuisance factors, such as noise, vibrations, smoke,","Mr. Hyde stated the applicants have no business sign plans as they do not market rock products to the general public. Nuisances: The mitigation of nuisance factors, such as noise, vibrations, smoke, dust, dirt, odors, gases, noxious matter, heat, glare, electromagnetic disturbances and radiation.",2026-06-11T19:21:59
candidate_00566,20,Unknown,Public Concern / Needs Review,02-07-18.txt,archive/extracted_text/legacy/02-07-18.txt,261,public hearing,needs_human_review,opposed to the applicant’s request. There were none so the public hearing was closed.,"Chairman Giles asked if there were any other visitors to speak either in favor or opposed to the applicant’s request. There were none so the public hearing was closed. Commissioner Drake motioned to approve the Conditional Use Permit requested by Dennis Jones, for the extraction of earth products, subject to the following conditions.",2026-06-11T19:21:58
candidate_00592,20,Unknown,Public Concern / Needs Review,03-06-19.txt,archive/extracted_text/legacy/03-06-19.txt,200,public hearing,needs_human_review,applicants request. The public hearing was closed.,Commissioner Wells asked if there were any other questions or comments. There were none and with no one in the audience to speak either in favor or opposed to the applicants request. The public hearing was closed. Commissioner Drake motioned to approve the Conditional Use Permit requested by,2026-06-11T19:21:58
candidate_00626,20,Unknown,Public Concern / Needs Review,04-04-18.txt,archive/extracted_text/legacy/04-04-18.txt,269,public hearing,needs_human_review,to the applicant’s request. There were none so the public hearing was closed.,Commissioner Giles asked if there were any other comments either in favor or opposed to the applicant’s request. There were none so the public hearing was closed. Commissioner Wells motioned to approve the Conditional Use Permit requested by R.,2026-06-11T19:21:58
candidate_00706,20,Unknown,Public Concern / Needs Review,06-11-12.txt,archive/extracted_text/legacy/06-11-12.txt,121,public hearing,needs_human_review,"Commission, after closing the public hearing, voted unanimously to approve the request","2, 2012. Chapman Construction is the applicant; they and the Fitzgerald’s appeared to speak in favor of the request. Mr. Burdette appeared and spoke against. The Planning Commission, after closing the public hearing, voted unanimously to approve the request subject to six conditions that are stated in the attached report. The parties opposed to the permit had 10 days to appeal the decision, which they did. As a result, we have noticed",2026-06-11T19:21:58
candidate_00707,20,Unknown,Public Concern / Needs Review,06-11-12.txt,archive/extracted_text/legacy/06-11-12.txt,124,public hearing,needs_human_review,this public hearing for today; it’s been mailed out and published in the local newspaper as,"subject to six conditions that are stated in the attached report. The parties opposed to the permit had 10 days to appeal the decision, which they did. As a result, we have noticed this public hearing for today; it’s been mailed out and published in the local newspaper as required by law.",2026-06-11T19:21:58
candidate_00739,20,Unknown,Public Concern / Needs Review,07-08-13.txt,archive/extracted_text/legacy/07-08-13.txt,259,public hearing,needs_human_review,"Commission Public Hearing in May, we received testimony from the applicants in favor","Winterton’s want to move their propane business on this property, so they are required to get a conditional use permit to have a business on this property. At the Planning Commission Public Hearing in May, we received testimony from the applicants in favor and a number of folks were against. We received a petition from a number of folks in the area that are opposed to it. At that time, the Planning Commission didn’t have any",2026-06-11T19:21:58
candidate_00835,20,Unknown,Public Concern / Needs Review,08-27-12.txt,archive/extracted_text/legacy/08-27-12.txt,19,public comment,needs_human_review,Public Comment/Other Business,"Chairman Wood offered the prayer. There were no other comments. Public Comment/Other Business Mr. River stated that on August 14, 2012 he filed a complaint about Stacey Williams on an illegal building taking place on lots V-0237, V-0238, and V-0239 in Vista Valley.",2026-06-11T19:21:58
candidate_00836,20,Unknown,Public Concern / Needs Review,08-27-12.txt,archive/extracted_text/legacy/08-27-12.txt,20,complaint,needs_human_review,"Mr. River stated that on August 14, 2012 he filed a complaint about Stacey Williams on","Public Comment/Other Business Mr. River stated that on August 14, 2012 he filed a complaint about Stacey Williams on an illegal building taking place on lots V-0237, V-0238, and V-0239 in Vista Valley. There has been a stop work order on that building and he has been here several times to",2026-06-11T19:21:58
candidate_00848,20,Unknown,Public Concern / Needs Review,08-29-11_Combined.txt,archive/extracted_text/legacy/08-29-11_Combined.txt,170,public comment,needs_human_review,Chairman Wood opened up the opportunity for public comment.,do anything we have to hold a public hearing to get public input. Chairman Wood opened up the opportunity for public comment. Mr. Woodland stated that he would like to make a point of clarification on the notice for,2026-06-11T19:21:58
